Kecamatan,Nama Toko,Alamat,Rating
"Kemayoran, Jakarta Pusat",Toko Material Barang,"MGK Kemayoran Blok B11.1, Lt GF, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610, Indonesia",4.9
"Kemayoran, Jakarta Pusat",Tb. Cahaya Indah,"Jl. Cemp. Baru VII No.13, RT.2/RW.7, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640, Indonesia",4.7
"Kemayoran, Jakarta Pusat",TB. Aneka Bangunan,"Jl. Howitzer Raya No.41 10, RT.10/RW.2, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640, Indonesia",4.3
"Kemayoran, Jakarta Pusat",Toko Bangunan Sinar Rejeki 44,"Jalan Letjend Suprapto No 44 RT 019. RW 007 Kelurahan :, Sumur Batu, Kecamatan : Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640, Indonesia",4.2
"Kemayoran, Jakarta Pusat",Toko Bahan Bangunan / Material Gembira,"Jl. Kepu Sel. No.1 14, RT.14/RW.2, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10620, Indonesia",4.1
"Kemayoran, Jakarta Pusat",TB. Berkah Sumur Batu,"Jl. Serdang Raya No.16 2, RT.2/RW.1, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640, Indonesia",4.8
"Kemayoran, Jakarta Pusat",TB.CAHAYA BARU,"Jl. Sumur Batu Raya No.3, RT.2/RW.5, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640, Indonesia",4.2
"Menteng, Jakarta Pusat",TB. Sinar Bangunan Menteng,"Jl. K.H. Wahid Hasyim No.72, RT.2/RW.4, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, Indonesia",3.6
"Menteng, Jakarta Pusat",TB. Serba Jaya,"Jl. K.H. Wahid Hasyim No.58 7, RT.7/RW.5, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, Indonesia",4.3
"Menteng, Jakarta Pusat",TB Maimunah,"5, Jl. Menteng Kecil No.11, RT.6/RW.9, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, Indonesia",4.3
"Menteng, Jakarta Pusat",TB PERSADA Tambak,"Jl. Tambak No.19, RT.2/RW.4, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320, Indonesia",4.6
"Menteng, Jakarta Pusat","TB Fajar, Stasiun Sudirman","Jl. Kudus No.19, RT.10/RW.6, Dukuh Atas, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia",4.1
"Menteng, Jakarta Pusat",TB. CKC,"Jl. Jaksa No.7 No. 72 A, RT.4/RW.5, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, Indonesia",4.3
"Menteng, Jakarta Pusat",Toko Bangunan Batu Raden,"Jl. K.H. Mas Mansyur, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240, Indonesia",4.2
"Menteng, Jakarta Pusat",TB. Winar Jaya,"Jl. Kb. Kacang 9 No.51 11, RT.11/RW.4, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240, Indonesia",4.5
"Sawah Besar, Jakarta Pusat",Toko Bangunan Mulia,"Jalan B raya No.mor 1, RT.13/RW.4, Karang Anyar, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10740, Indonesia",4.8
"Sawah Besar, Jakarta Pusat",Toko SUKA JAYA,"Jl. Lautze No.162a, Kartini, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10750, Indonesia",4.7
"Sawah Besar, Jakarta Pusat",Tb. Putra Jaya,"Jl. Alaydrus No.14 A, RT.17/RW.3, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130, Indonesia",4.5
"Sawah Besar, Jakarta Pusat",Toko Bangunan Batu Raden,"Jl. K.H. Mas Mansyur, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240, Indonesia",4.2
"Sawah Besar, Jakarta Pusat",Toko Surya Timur,"Jl. Rajawali Selatan I No.79, RT.15/RW.2, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720, Indonesia",4.6
"Sawah Besar, Jakarta Pusat",PD Makmur Jaya,"Jl. Karang Anyar A No.38A, Kartini, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10750, Indonesia",4.5
"Sawah Besar, Jakarta Pusat",TB. Winar Jaya,"Jl. Kb. Kacang 9 No.51 11, RT.11/RW.4, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240, Indonesia",4.5
"Sawah Besar, Jakarta Pusat",Toko Bangunan Sumber Makmur Sejak 1965,"Sebelum lampu merah. Hook sebelah alfamart, Jl. H. Samanhudi, RT.13/RW.5, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710, Indonesia",5.0
"Senen, Jakarta Pusat",Toko Bangunan MAJU,"Jl. Kramat Sentiong No.36B, RT.8/RW.7, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450, Indonesia",4.4
"Senen, Jakarta Pusat","TB. Timur Jaya, Kwitang","Jl. Kramat Kwitang 1H No.1 3, RT.3/RW.5, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10420, Indonesia",4.7
"Senen, Jakarta Pusat",Toko Bangunan Bahagia,"Jl. Kramat Sentiong No.29 10, RT.10/RW.6, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450, Indonesia",4.8
"Senen, Jakarta Pusat",Tb Bungur Jaya,"Jl. Kalibaru Timur No.82 1, RT.1/RW.2, Bungur, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10460, Indonesia",4.6
"Senen, Jakarta Pusat",Tb. Berkat bangunan,"Jl. Kramat IV No.2, RT.7/RW.9, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10420, Indonesia",5.0
"Senen, Jakarta Pusat",Toko Besi Murah - Ritel Grosir Material dan Bahan Bangunan,"Jl. Letjen Suprapto No.12, RT.1/RW.1, Tanah Tinggi, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10540, Indonesia",4.7
"Senen, Jakarta Pusat",TB. Sinar Bangunan Menteng,"Jl. K.H. Wahid Hasyim No.72, RT.2/RW.4, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, Indonesia",3.6
"Senen, Jakarta Pusat",Toko Setia Kawan Kwitang,"Jl. Listrik 5 No.6, RT.10/RW.6, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10420, Indonesia",4.7
