Kecamatan,Nama Toko,Alamat,Rating
"Cengkareng, Jakarta Barat",Tb. Cahaya Kencana,"Jl. Kapuk Cengkareng No.88, RT.2/RW.11, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",4.6
"Cengkareng, Jakarta Barat",TB.Nirmala toko besi dan bangunan,"6, Jl. Nirmala Raya No.2, RT.6/RW.5, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",4.9
"Cengkareng, Jakarta Barat",TB. Sinar Mulia -TamanPalem,"Ruko Taman Palem Lestari Blok C1 no. 28, Ruko taman Palem Lestari, C1/28, RT.3/RW.13, West Cengkareng, Cengkareng, West Jakarta City, Jakarta 11730, Indonesia",5.0
"Cengkareng, Jakarta Barat",TB. Makmur,"Jl. Waru 1 No.2, RT.13/RW.9, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720, Indonesia",4.5
"Cengkareng, Jakarta Barat","Toko MEGA JAYA Bahan Bangunan, Listrik, Cat","City Resort Miami, Blk. D Jl. Kapuk Cengkareng No.11, RT.7/RW.14, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",4.8
"Cengkareng, Jakarta Barat",TOKO BANGUNAN DUA UTAMA,"Jl. Nirmala Raya No.32, RT.5/RW.5, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",4.6
"Cengkareng, Jakarta Barat",Tb. Indah Bangunan,"Jl. Rawa Buaya No.14, RT.3/RW.1, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740, Indonesia",4.7
"Cengkareng, Jakarta Barat",Toko Bangunan Mitra Kita (kapuk),"13, Jl. Kapuk Kayu Besar No.35 A, RT.13/RW.11, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",4.8
"Grogol Petamburan, Jakarta Barat",Toko Bangunan Hari Hari Mandala,"Jl. Mandala Utara No.21, RT.17/RW.4, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia",4.5
"Grogol Petamburan, Jakarta Barat",Toko Bangunan Sinar Mas,"Jl. Tanjung Duren Timur No.28A, RT.4/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",4.5
"Grogol Petamburan, Jakarta Barat",Sinar Tomang,"Jl. Tanjung Duren Raya No.105, RT.6/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",4.3
"Grogol Petamburan, Jakarta Barat",Toko Bangunan Mahkota Jaya,"13, Jl. Tomang Tinggi Raya No.43, RT.13/RW.7, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia",4.6
"Grogol Petamburan, Jakarta Barat",Toko Bahan Bangunan Bintang Grogol,"Jl. Semeru Raya No.15A, RT.10/RW.10, Grogol, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450, Indonesia",4.6
"Grogol Petamburan, Jakarta Barat",Toko Bangunan Bahan Rumah,"Jl. Mandala Utara No.11, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia",5.0
"Grogol Petamburan, Jakarta Barat",TB. Maju Jaya,"Jl. Semeru Raya No.31, Grogol, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450, Indonesia",4.8
"Grogol Petamburan, Jakarta Barat",Toko Bangunan Citra Jaya,"RQHM+35X, Jl. Tj. Duren Utara 4, RT.4/RW.3, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",4.6
"Kalideres, Jakarta Barat",Mitra10 Daan Mogot Jakarta Barat,"Jl. Tampak Siring No.1 Blok KK, RT.2/RW.12, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, Indonesia",4.3
"Kalideres, Jakarta Barat",TB. Cahaya Abadi,"Jl. Daan Mogot Baru Jl. Jimbaran No.15 Blok La 14, Kalideres, Kota Adm, West Jakarta City, Jakarta 11840, Indonesia",5.0
"Kalideres, Jakarta Barat",Toko Bangunan Pelita Abadi,"Jl. Peta Selatan No. 12 RT 006%2F03 Kalideres Kalideres Jakarta Barat DKI Jakarta, RT.10/RW.14, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, Indonesia",4.8
"Kalideres, Jakarta Barat",Tb. Daan Mogot Jaya,"No.KM.17 No, Jl. Daan Mogot No.88, RT.2/RW.3, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, Indonesia",4.5
"Kalideres, Jakarta Barat",Jaya Makmur Toko,"Jl. Peta Barat No.78 RT 002, RT.02/RW.7, Pegadungan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, Indonesia",4.4
"Kalideres, Jakarta Barat",Toko Material semanan jaya,"Jl. Semanan Raya No.11, RT.4/RW.6, Semanan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",4.6
"Kalideres, Jakarta Barat",Citra Bangunan Toko,"Jl. Utan Jati No.15, RT.5/RW.6, Pegadungan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",4.4
"Kalideres, Jakarta Barat",Toko Bangunan Anugerah,"Jl. Dharma Graha No.35A 2, RT.2/RW.12, Semanan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",4.0
"Kebon Jeruk, Jakarta Barat",Toko Bangunan Universal - Toko Bahan Bangunan Jakarta Barat,"Jl. Panjang Kp. Baru No.26, Sukabumi Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11560, Indonesia",4.8
"Kebon Jeruk, Jakarta Barat",TB Jaya Baru / PT. SIANJAYA BANGUN MANDIRI,"JL. KEBUN JERUK RAYA 25, Jl. Rw. Belong No.14, Sukabumi Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11540, Indonesia",4.6
"Kebon Jeruk, Jakarta Barat",Toko SUMBER MAKMUR ABADI,"Blok Langgar, Jl. Kb. Jeruk Baru Blok Langgar No.45, RT.4/RW.4, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia",4.4
"Kebon Jeruk, Jakarta Barat",Tb. Sumber Bangunan Jaya,"Jl. Kebon Raya No.12b 1, RT.1/RW.1, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia",4.5
"Kebon Jeruk, Jakarta Barat",Tb. Laris Jaya,"Jl. Raya Kb. Jeruk No.32 1, RT.1/RW.9, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia",4.8
"Kebon Jeruk, Jakarta Barat",SINAR KEDOYA TOKO BANGUNAN,"Jl. Kedoya Pesing No.9, Kedoya Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520, Indonesia",4.8
"Kebon Jeruk, Jakarta Barat",Tb. Laris,"Jl. Kebon Raya No.68, RT.1/RW.2, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia",4.3
"Kebon Jeruk, Jakarta Barat",Tb. Muda Mudi,"Jl. Panjang Arteri Klp. Dua Raya No.12, RT.6/RW.2, Klp. Dua, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11550, Indonesia",4.5
"Kembangan, Jakarta Barat",Supermarket Bangunan Abadi ( Bangunan Abadi ) Meruya,"Jl. Meruya Ilir Raya No.13 3, RT.3/RW.2, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",4.5
"Kembangan, Jakarta Barat",Toko Bangunan Sinar Maju Baru,"Jl. Kembangan Utara No.69, RT.3/RW.1, Kembangan Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",4.9
"Kembangan, Jakarta Barat",Toko Sinar Kembangan,"Jl. Kembangan Baru Raya No.8, RT.4/RW.3, Kembangan Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",4.4
"Kembangan, Jakarta Barat",Sinar Terang,"Jl. Puri Kembangan No.68 11, RT.11/RW.5, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",4.6
"Kembangan, Jakarta Barat",Toko Mega Agung,"Jl. Meruya Utara No.48, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620, Indonesia",4.7
"Kembangan, Jakarta Barat",Tb. Puri Bangunan,"Jl. Puri Kembangan No.100 11, RT.11/RW.5, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",0.0
"Kembangan, Jakarta Barat",Material Building Store,"RQ82+JXJ, Jl. Puri Kembangan Raya, RT.1/RW.8, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",4.5
"Kembangan, Jakarta Barat",RENOTOP MERUYA,"Jl. Meruya Selatan No.19, RT.4/RW.1, Joglo, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia",4.7
"Palmerah, Jakarta Barat",TB. Rawa Belong Jaya,"Jl. Palmerah Barat No.54, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",4.6
"Palmerah, Jakarta Barat",TB. Berkah Jaya,"Jl. Tomang Asli No.3 7, RT.7/RW.2, Jatipulo, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11430, Indonesia",4.5
"Palmerah, Jakarta Barat",Toko Bangunan Wijaya Baru,"Jl. Palmerah Bar. IX No.6 15 9 No 6, RT.15/RW.9, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",4.8
"Palmerah, Jakarta Barat",Tb. Sumber Bangunan,"Jl. Kota Bambu Raya No.42 5, RT.4/RW.4, Kota Bambu Sel., Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",4.3
"Palmerah, Jakarta Barat",TB. Sinar Jaya,"Jl. Kamboja No.68-70, RT.3/RW.2, Kota Bambu Sel., Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",5.0
"Palmerah, Jakarta Barat",TB.Kawan Setia Jaya,"Jalan Palmerah Barat #62 Rawa Belong Palmerah, Jl. Palmerah Barat No.61, RT.4/RW.3, Grogol Utara, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210, Indonesia",4.2
"Palmerah, Jakarta Barat",TOKO BANGUNAN DIMAS,"Jl. Inspeksi Kali Grogol, Jl. Palmerah Utara No.19, RT.6/RW.7, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",4.7
"Palmerah, Jakarta Barat",Tb. Kota Bambu Jaya,"4 Jalan Kota Bambu Raya No.05, RT.03 4 5, RT.4/RW.5, Kota Bambu Sel., Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",4.6
"Taman Sari, Jakarta Barat",Tb. Putra Agung,"Jl. Taman Sari X No.No.62 D, RT.2/RW.1, Taman Sari, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11150, Indonesia",4.8
"Taman Sari, Jakarta Barat",Sumber Makmur Jaya Toko,"Jl. Ketapang Utara I Dalam Jl. Taman Sari Raya No.24 1, RT.1/RW.8, Krukut, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11140, Indonesia",4.9
"Taman Sari, Jakarta Barat",Pamulang Sari,"Jl. Pinangsia Raya No.38 6, RT.6/RW.5, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110, Indonesia",4.4
"Taman Sari, Jakarta Barat",TB. Kencana Sakti,"Jl. Keutamaan Raya No.88, Krukut, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11140, Indonesia",4.3
"Taman Sari, Jakarta Barat",Toko Bangunan Daun Mas Jaya,"Jl. Keutamaan Dalam No.mor 4 6, RT.2/RW.3, Krukut, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11140, Indonesia",5.0
"Taman Sari, Jakarta Barat",TB. Sumber Rejeki,"Jl. Kebon Jeruk XV No.37 9, RT.10/RW.8, Maphar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11160, Indonesia",4.4
"Taman Sari, Jakarta Barat",Maju Jaya,"1, Jl. Kemurnian IV No.1, RW.4, Glodok, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11120, Indonesia",4.0
"Taman Sari, Jakarta Barat",Citra Bangunan,"Jl. Mangga Besar IV No.7B 5, RT.5/RW.1, Taman Sari, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11150, Indonesia",5.0
"Tambora, Jakarta Barat",Toko Bangunan Sumber Makmur,"10, Jl. Jembatan Besi Raya No.37, RT.10/RW.1, Jemb. Besi, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11320, Indonesia",4.9
"Tambora, Jakarta Barat",TB. Berkah Jaya,"Jl. Tomang Asli No.3 7, RT.7/RW.2, Jatipulo, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11430, Indonesia",4.5
"Tambora, Jakarta Barat",Toko Bangunan Mahkota Jaya,"13, Jl. Tomang Tinggi Raya No.43, RT.13/RW.7, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia",4.6
"Tambora, Jakarta Barat",Toko Bangunan Hari Hari Mandala,"Jl. Mandala Utara No.21, RT.17/RW.4, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia",4.5
"Tambora, Jakarta Barat",Toko bangunan AA JAYA,"Jl. Duri Utara 1 No.22, RT.009/RW.3, Duri Utara, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11270, Indonesia",5.0
"Tambora, Jakarta Barat",Tb. Kota Bambu Jaya,"4 Jalan Kota Bambu Raya No.05, RT.03 4 5, RT.4/RW.5, Kota Bambu Sel., Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",4.6
"Tambora, Jakarta Barat",Tb. Sumber Bangunan,"Jl. Kota Bambu Raya No.42 5, RT.4/RW.4, Kota Bambu Sel., Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",4.3
"Tambora, Jakarta Barat",Tb Awet Makmur,"Jl. KH.Moh.Mansyur No.163C, RT.3/RW.2, Duri Utara, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11270, Indonesia",4.7
"Cilandak, Jakarta Selatan",Toko Sinar Bangunan II,"Jl. Cilandak Tengah Raya No.16, RT.7/RW.1, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia",4.5
"Cilandak, Jakarta Selatan",Toko Sahabat Bangunan prima pondok labu,"Jl. RS. Fatmawati Raya, RT.6/RW.10, Pd. Labu, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12450, Indonesia",5.0
"Cilandak, Jakarta Selatan",TB. ABADI JAYA,"Jl. Lebak Bulus IV No.38, RT.8/RW.4, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440, Indonesia",4.8
"Cilandak, Jakarta Selatan",Tb. Cahaya Abadi,"Jl. Gaharu I No.46, RT.9/RW.4, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410, Indonesia",4.5
"Cilandak, Jakarta Selatan",Sinar Jaya Toko 3,"Jl. Lebak Bulus I, RT.3/RW.4, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440, Indonesia",4.8
"Cilandak, Jakarta Selatan",TB. Setia Baru,"Jl. Terogong Raya No.43, RT.1/RW.6, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia",4.2
"Cilandak, Jakarta Selatan",TB Prima Bangunan,"Jl. Lb. Bulus III No.7, RT.11/RW.4, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440, Indonesia",4.9
"Cilandak, Jakarta Selatan",Karya Jaya,"Jl. Ampera Raya No.4, RT.2/RW.2, Cilandak Tim., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560, Indonesia",4.7
"Jagakarsa, Jakarta Selatan",TB Sinar Gemilang,"Jl. Wr. Sila No.27 1, RT.2/RW.5, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630, Indonesia",4.7
"Jagakarsa, Jakarta Selatan",TB. Sinar Bangunan I,"Jl. Moh. Kahfi 1 No.13, RT.3/RW.4, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620, Indonesia",4.7
"Jagakarsa, Jakarta Selatan",Toko Bangunan Sinar Baru,"Jl. Moch. Kahfi II No.7, RT.1/RW.3, Cipedak, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630, Indonesia",4.7
"Jagakarsa, Jakarta Selatan",Tb. Sinar Terang,"Jl. Moh. Kahfi 1 No.238, RT.5/RW.1, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630, Indonesia",4.4
"Jagakarsa, Jakarta Selatan",TB Metro Bangunan,"Jl. Sirsak No.31, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630, Indonesia",4.5
"Jagakarsa, Jakarta Selatan",TB Karya Maju,"Jl. Moch. Kahfi II No.31 5, RT.5/RW.4, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630, Indonesia",4.4
"Jagakarsa, Jakarta Selatan",TB Sederhana,"Jalan M Kahfi II Rt 003 Rw 05, RT.4/RW.5, Cipedak, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12640, Indonesia",4.6
"Jagakarsa, Jakarta Selatan",Langit ACC Supermarket Bangunan,"Jl. Moch. Kahfi II No.11, RT.4/RW.4, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630, Indonesia",4.6
"Kebayoran Baru, Jakarta Selatan",Toko Bangunan,"Jl. Martimbang Raya No.1, RT.1/RW.5, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220, Indonesia",4.7
"Kebayoran Baru, Jakarta Selatan",TB. SINAR TIMUR,"Jl. Gandaria 1 No.344 Blok D, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130, Indonesia",4.6
"Kebayoran Baru, Jakarta Selatan",TB. Sami Jaya,"Santa Modern Market, Jl. Cipaku I, RT.5/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",4.7
"Kebayoran Baru, Jakarta Selatan",Toko Bangunan Alam Makmur,"Jl. H. Nawi Raya No.23, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia",4.9
"Kebayoran Baru, Jakarta Selatan",Bangunan Baru - Toko Keramik & Sanitary,"Jl. Panglima Polim No.48, Pulo, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia",4.4
"Kebayoran Baru, Jakarta Selatan",TB SINAR JAYA,"Jl. Jatayu No.1, RT.1/RW.10, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130, Indonesia",4.8
"Kebayoran Baru, Jakarta Selatan",Toko Bangunan Wijaya Baru,"Jl. Palmerah Bar. IX No.6 15 9 No 6, RT.15/RW.9, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",4.8
"Kebayoran Baru, Jakarta Selatan",TB Pusaka Jaya,"Jl. Gandaria 1 No.13 1, RT.1/RW.8, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130, Indonesia",4.9
"Kebayoran Lama, Jakarta Selatan",Tb. Rimba Jaya,"Jl. Raya Kby. Lama No.194, RT.1/RW.7, Cipulir, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12230, Indonesia",4.7
"Kebayoran Lama, Jakarta Selatan",Toko Bangunan Cahaya Lestari,"Jl. Delman Utama I No.7, RT.1/RW.11, Kby. Lama Utara, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia",4.8
"Kebayoran Lama, Jakarta Selatan",TB. Subur,"Jl. Kemandoran I No.72, RT.1/RW.4, Grogol Utara, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210, Indonesia",4.6
"Kebayoran Lama, Jakarta Selatan",Toko Cahaya Bangunan,"Jl. Raya Kby. Lama No.37, RT.4/RW.10, Grogol Utara, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220, Indonesia",4.0
"Kebayoran Lama, Jakarta Selatan",Tb. Permata Hijau,"Jl. Limo No.4, RT.3/RW.5, Grogol Sel., Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220, Indonesia",4.5
"Kebayoran Lama, Jakarta Selatan",Toko Bangunan Padma Jaya,"Jl. Panjang Cidodol C No.3 5, RT.5/RW.13, Grogol Sel., Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220, Indonesia",4.4
"Kebayoran Lama, Jakarta Selatan",Tb. Sumber Bangunan,"Jl. Ciputat Raya, RT.2/RW.4, Kby. Lama Utara, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia",4.3
"Kebayoran Lama, Jakarta Selatan",Toko Bangunan Berdikari,"Jl. Ciputat Raya No.333, RT.2/RW.3, Kby. Lama Utara, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia",4.6
"Mampang Prapatan, Jakarta Selatan",TB Raja Bangunan,"Jl. Bangka IX C No.92 9, RT.12/RW.5, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720, Indonesia",4.5
"Mampang Prapatan, Jakarta Selatan",TB. Alam Makmur Jalan Bangka,"Jl. Bangka VIII No.61, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720, Indonesia",4.4
"Mampang Prapatan, Jakarta Selatan",TB Mampang Jaya,"Jl. Tegal Parang Utara No.38 2, RT.4/RW.4, Mampang Prpt., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790, Indonesia",4.5
"Mampang Prapatan, Jakarta Selatan",TOKO MATERIAL ABADI,"Jl. Tegal Parang Sel. No.25, RT.3/RW.5, Tegal Parang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790, Indonesia",4.9
"Mampang Prapatan, Jakarta Selatan",Hasil Karya Toko,"Jl. Bangka Raya No.16, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720, Indonesia",4.3
"Mampang Prapatan, Jakarta Selatan",Toko Terang Jaya,"Jl. Kapten Tendean No.1, RT.1/RW.3, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790, Indonesia",4.0
"Mampang Prapatan, Jakarta Selatan",Toko Jaya Makmur,"Dekat Giant Mampang No. 19 A, Jl. Mampang Prpt. Raya, RT.6/RW.3, Mampang Prpt., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790, Indonesia",4.5
"Mampang Prapatan, Jakarta Selatan",TB. Surya Jaya,"Jl. Tegal Parang Sel. No.6 5, RT.5/RW.1, Tegal Parang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790, Indonesia",4.6
"Pancoran, Jakarta Selatan",TB. Berkah Bangunan,"Jl. Kalibata Tengah No.2, RT.2/RW.3, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740, Indonesia",0.0
"Pancoran, Jakarta Selatan",TB. Mulya Jaya,"Jl. Pancoran Barat VII No.10 14, RT.14/RW.14, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780, Indonesia",4.8
"Pancoran, Jakarta Selatan",TB. Kapuas Raya,"Jl. Pancoran Barat VII No.1, RT.12/RW.6, Pancoran, Kec. Pancoran, DKI Jakarta, Daerah Khusus Ibukota Jakarta 12780, Indonesia",4.6
"Pancoran, Jakarta Selatan",Toko Bangun Bersama,"Jl. Pengadegan Selatan Raya No.21B, RT.2/RW.5, Pengadegan, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770, Indonesia",4.3
"Pancoran, Jakarta Selatan",Tb. Sinar Pancoran,"Jl. Pengadegan Utara No.35b, RT.3/RW.7, Cikoko, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770, Indonesia",4.9
"Pancoran, Jakarta Selatan",TB Mitra Jaya,"Jl. Duren Tiga Raya No.4, RT.1/RW.3, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia",4.3
"Pancoran, Jakarta Selatan",TB. Murah Jaya,"Jl. Duren Tiga Selatan No.8, RT.13/RW.2, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760, Indonesia",4.5
